#{"t_start": 1622874995.046234, "env_id": "AntEnv-v8"}
r,l,t,reward,reward_motion,reward_torque,reward_velocity,reward_contact
-14.383822,20,155.529793,-0.9682947190872957,0.0,-0.0015853188218263499,-0.5691439165274301,-0.39756548373803924
-24.590689,20,156.83404,-1.2425475123844865,0.0,-0.021845406949432773,-0.9100396929849685,-0.31066241245008525
-18.515814,20,158.157675,-1.4121917259144927,0.0,-0.01720561033434265,-0.8580236601104247,-0.5369624554697253
-20.800676,20,159.465576,-1.1247432160676625,0.0,-0.014099941502147667,-0.5676690169183434,-0.5429742576471713
-14.609597,20,160.814584,-0.9280752375612344,0.0,-0.009397639743474418,-0.28892389890489295,-0.6297536989128671
-28.220236,20,162.152848,-1.4991341794025104,0.0,-0.009397639743480617,-0.8718784583390953,-0.6178580813199344
-10.656198,20,163.437272,-0.7214708622309104,0.0,-0.010901558911249564,-0.17150568612821082,-0.53906361719145
-14.3906,20,164.77178,-0.9409809725046803,0.0,-0.009397639743924656,-0.3380613794972517,-0.593521953263504
-22.989959,20,166.068771,-1.4301577534132939,0.0,-0.05837393266739895,-0.9720430065187095,-0.3997408142271853
-14.897399,20,167.428213,-0.848030007900152,0.0,-0.009470956552128927,-0.22112466376020515,-0.617434387587818
-23.951631,20,168.750237,-1.2962700472311899,0.0,-0.009397639743480573,-0.6681444752104887,-0.6187279322772207
-14.352278,20,170.020336,-0.7091421296810194,0.0,-0.00466811212746455,-0.30443767254762594,-0.40003634500592894
-23.788169,20,171.324769,-1.3089762660529445,0.0,-0.013844703386094422,-0.7966339504582985,-0.49849761220855143
-10.064745,20,172.590944,-0.5519758133170943,0.0,-0.005665825264170644,-0.14845310439017903,-0.3978568836627447
-23.540962,20,173.892227,-1.2099631179500943,0.0,-0.017424825404889505,-0.6768268118574394,-0.5157114806877652
-21.118089,20,175.191085,-1.1573063303300524,0.0,-0.014099941502106765,-0.5204438637335823,-0.6227625250943634
-23.003471,20,176.499955,-1.408879248443741,0.0,-0.010537769172559573,-0.7530412915058758,-0.6453001877653055
-25.929675,20,177.832132,-1.4183351827435944,0.0,-0.010340799908450299,-0.8835554744023251,-0.5244389084328189
